name,team_abbr,team_name,pos,jersey_number,goals_ref,assists_ref,own_goals_ref,points_ref,epl_in_ref,xg_ref,xa_ref,xpoints_ref,id
Kobbie Mainoo,MUN,Manchester United,MID,37,1,2,0,2,true,0.5174760585650802,1.1900591785088181,1.1125056478194892,sr:player:2264945
Maxence Lacroix,CFC,Chelsea,DEF,,1,2,0,2,true,3.006834846921265,1.2868863735347986,3.6502780336886644,sr:player:1132173
Dan Burn,NEW,Newcastle,DEF,33,1,2,0,2,true,0.9214910920709372,0.4085770333185792,1.1257796087302268,sr:player:99090
Tammy Abraham,AVL,Aston Villa,FWD,18,2,0,0,2,true,2.0484648095443845,0.1292063184082508,2.11306796874851,sr:player:610766
Amadou Onana,AVL,Aston Villa,MID,24,2,0,0,2,true,2.772524105384946,0.5039298757910728,3.0244890432804823,sr:player:1402475
Evann Guessand,AVL,Aston Villa,FWD,29,1,2,0,2,true,1.8542680740356445,1.2377337515354156,2.4731349498033524,sr:player:1428491
Riccardo Calafiori,ARS,Arsenal,DEF,33,1,2,0,2,true,3.469513338059187,0.6484237592667341,3.793725217692554,sr:player:1297524
Tom Cairney,FUL,Fulham,MID,10,2,0,0,2,true,0.8124629594385624,0.6888010948896408,1.1568635068833828,sr:player:82566
Josh King,FUL,Fulham,DEF,24,1,2,0,2,true,3.79960710555315,1.0395643608644605,4.31938928598538,sr:player:1973247
Curtis Jones,LFC,Liverpool,MID,17,1,2,0,2,true,2.4063171884045005,2.8340956876054406,3.823365032207221,sr:player:1298510
Yehor Yarmoliuk,BRE,Brentford,MID,18,1,2,0,2,true,1.3752933973446488,1.2573875626549125,2.003987178672105,sr:player:1858626
Ryan Christie,BOU,Bournemouth,MID,10,2,0,0,2,true,1.7907362105324864,1.6195761244744062,2.6005242727696896,sr:player:322391
Justin Kluivert,BOU,Bournemouth,MID,19,2,0,0,2,true,2.293420127592981,2.294822184368968,3.440831219777465,sr:player:934234
Nicolas Dominguez,NFO,Nottingham,MID,16,1,1,0,1.5,true,1.01239497307688,1.2798706572502851,1.6523303017020226,sr:player:1103661
Dan Ndoye,NFO,Nottingham,FWD,14,1,1,0,1.5,true,1.1724078450351954,1.552884567528963,1.948850128799677,sr:player:1556269
Savinho,MCI,Manchester City,MID,26,1,1,0,1.5,true,3.2695208471268415,0.9313512817025185,3.7351964879781008,sr:player:2057939
Stefanos Tzimas,BRI,Brighton,FWD,9,1,1,0,1.5,true,0.6250067912042141,0.3843204230070114,0.8171670027077198,sr:player:2505175
Brajan Gruda,BRI,Brighton,MID,8,1,1,0,1.5,true,1.772459496743977,1.2154594017192721,2.380189197603613,sr:player:2541095
Rodrigo Bentancur,TOT,Tottenham,MID,30,1,1,0,1.5,true,0.9771954659372568,0.8773890770971775,1.4158900044858456,sr:player:810644
Conor Gallagher,TOT,Tottenham,MID,8,1,1,0,1.5,true,1.512411999516189,0.8551288228482008,1.9399764109402895,sr:player:1297742
Ethan Ampadu,LEE,Leeds United,DEF,4,1,1,0,1.5,true,1.946105619892478,1.1763546681031585,2.5342829539440572,sr:player:974231
Ilia Gruev,LEE,Leeds United,MID,44,0,3,0,1.5,true,0.7337606139481068,1.4936000779271126,1.480560652911663,sr:player:1065580
Luke Shaw,MUN,Manchester United,DEF,23,1,1,0,1.5,true,0.5988588444888592,1.4936611289158463,1.3456894089467824,sr:player:190839
Yoane Wissa,NEW,Newcastle,FWD,9,1,1,0,1.5,true,3.2381826024502516,0.16953905671834946,3.3229521308094263,sr:player:871210
Lewis Hall,NEW,Newcastle,DEF,3,1,1,0,1.5,true,1.28814219776541,2.5339094949886203,2.55509694525972,sr:player:2249331
Joao Gomes,AVL,Aston Villa,MID,35,1,1,0,1.5,true,1.2462569223716855,1.441765757277608,1.9671398010104895,sr:player:2014161
Omar Alderete,SUN,Sunderland,DEF,15,1,1,0,1.5,true,1.5455667236819863,0.6074565481394529,1.8492949977517128,sr:player:795808
Trai Hume,SUN,Sunderland,DEF,32,2,1,1,1.5,true,2.7079745400696993,2.0842118076980114,3.750080443918705,sr:player:1642848
Simon Adingra,SUN,Sunderland,FWD,24,1,1,0,1.5,true,0.33560439944267273,0.7323711905628443,0.7017899947240949,sr:player:2142670
Chris Rigg,SUN,Sunderland,MID,11,1,1,0,1.5,true,0.8001006729900837,1.1892294473946095,1.3947153966873884,sr:player:2532601
Kevin,FUL,Fulham,FWD,22,1,1,0,1.5,true,1.334008033387363,1.2403811980038881,1.954198632389307,sr:player:2148734
Jake O'Brien,EVE,Everton,DEF,15,1,1,0,1.5,true,1.3068652302026749,0.7244354635477066,1.6690829619765282,sr:player:1645136
Nathan Collins,BRE,Brentford,DEF,22,1,3,1,1.5,true,2.917149268090725,2.4296576268970966,4.131978081539273,sr:player:1069190
Chris Richards,CRY,Crystal Palace,DEF,26,1,0,0,1,true,1.7814537715166807,0.4875335106626153,2.0252205268479884,sr:player:1512315
Justin Devenny,CRY,Crystal Palace,MID,55,1,0,0,1,true,2.2452754601836205,0.33247873187065125,2.411514826118946,sr:player:2325471
Ryan Yates,NFO,Nottingham,MID,22,0,2,0,1,true,0.674801416695118,0.22749154455959797,0.7885471889749169,sr:player:1014789
Dilane Bakwa,NFO,Nottingham,FWD,29,0,2,0,1,true,0.7644308656454086,1.2161817625164986,1.372521746903658,sr:player:1422017
Morato,NFO,Nottingham,DEF,4,1,0,0,1,true,1.8853958677500486,0.09368901792913675,1.932240376714617,sr:player:1888546
Rodri,MCI,Manchester City,MID,16,1,0,0,1,true,1.1884781727567315,2.2761295437812805,2.3265429446473718,sr:player:844073
Rayan Ait-Nouri,MCI,Manchester City,DEF,21,0,2,0,1,true,0.4981528613716364,1.7330033089965582,1.3646545158699155,sr:player:1432949
Nicolas Gonzalez,MCI,Manchester City,MID,14,1,0,0,1,true,0.6088060820475221,0.8885113457217813,1.0530617549084127,sr:player:1600852
Lewis Dunk,BRI,Brighton,DEF,5,1,0,0,1,true,1.3368871174752712,0.5454101115465164,1.6095921732485294,sr:player:115365
Ferdi Kadioglu,BRI,Brighton,DEF,24,1,0,0,1,true,2.019620954990387,2.244557812809944,3.141899861395359,sr:player:934224
Matt O'Riley,BRI,Brighton,MID,33,1,0,0,1,true,1.139720857143402,0.14959949534386396,1.214520604815334,sr:player:1245272
Issa Diop,IPS,Ipswich,DEF,6,1,0,0,1,false,0.4416985362768173,0,0.4416985362768173,sr:player:361320
Florentino,IPS,Ipswich,MID,,0,2,0,1,false,1.0381876304745674,0.5375469047576189,1.3069610828533769,sr:player:936366
Ben Davies,TOT,Tottenham,DEF,33,1,0,0,1,true,0.7982581853866577,0.024737762287259102,0.8106270665302873,sr:player:94758
Andy Robertson,TOT,Tottenham,DEF,3,1,0,0,1,true,1.047316076233983,1.5095006115734577,1.802066382020712,sr:player:262911
Sandro Tonali,TOT,Tottenham,MID,16,0,2,0,1,true,1.4170023752376437,3.7605556417256594,3.2972801961004734,sr:player:1265128
Wilson Odobert,TOT,Tottenham,FWD,28,0,2,0,1,true,2.460178238339722,1.9524234533309937,3.436389965005219,sr:player:2239979
Matthijs de Ligt,MUN,Manchester United,DEF,4,1,0,0,1,true,1.3233719654381275,0.4281761646270752,1.5374600477516651,sr:player:815732
